Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date
NY-CMP-24680,Social Media,College Students,8.0,YouTube,11250.0,,93.0,51.0,13005.0,5754.04,-0.96,Hindi,4.86,,13-05-2025
NY-CMP-18518,Email,Premium Shoppers,16.0,"Google, YouTube, Email",96303.0,14190.0,3258.0,2086.0,1228654.0,52.4,10.24,Tamil,20.28,Working Women,14-12-2024
NY-CMP-21274,Influencer,Tier 2 City Customers,17.0,Instagram,33559.0,2432.0,572.0,207.0,65412.0,1028.02,-0.69,,9.57,Working Women,13-12-2024
NY-CMP-20858,Influencer,Tier 2 City Customers,,"Email, YouTube",81038.0,3912.0,2061.0,1519.0,958489.0,,3.37,Hindi,9.25,Tier 2 City Customers,12-10-2024
NY-CMP-11743,Paid Ads,Tier 2 City Customers,9.0,YouTube,99148.0,3304.0,985.0,317.0,110950.0,503.68,-0.31,Bengali,4.65,Premium Shoppers,30-11-2024
NY-CMP-27487,Social Media,Working Women,14.0,"YouTube, Email, Facebook",82599.0,9619.0,,1052.0,734296.0,163.81,3.26,Tamil,15.34,Working Women,11-03-2025
NY-CMP-42645,Paid Ads,Tier 2 City Customers,20.0,,50548.0,4701.0,1142.0,830.0,169320.0,288.98,-0.29,Tamil,13.2,Working Women,03-02-2025
NY-CMP-53032,Email,College Students,7.0,"YouTube, Email, Google",18544.0,747.0,324.0,,129970.0,311.54,1.04,English,6.88,Tier 2 City Customers,11-03-2025
NY-CMP-50454,Paid Ads,Tier 2 City Customers,7.0,"Google, Instagram, Facebook",94945.0,8427.0,2817.0,2146.0,457098.0,86.88,1.45,Hindi,14.1,College Students,03-01-2025
NY-CMP-19331,Email,Youth,8.0,WhatsApp,,11190.0,2273.0,,548120.0,178.3,2.98,Bengali,17.7,Youth,16-12-2024
NY-CMP-29697,Influencer,Working Women,14.0,Email,23083.0,3181.0,,288.0,175104.0,789.97,,Hindi,18.89,Tier 2 City Customers,17-08-2024
NY-CMP-34105,Social Media,Premium Shoppers,17.0,"Facebook, Email",70382.0,4231.0,1351.0,905.0,331230.0,292.04,0.25,Hindi,9.22,College Students,02-01-2025
NY-CMP-56107,Paid Ads,Premium Shoppers,30.0,"Instagram, Google",22283.0,2490.0,1008.0,524.0,168728.0,537.63,-0.4,English,18.05,Premium Shoppers,15-11-2024
NY-CMP-34184,Email,Tier 2 City Customers,18.0,"Google, YouTube",69346.0,3744.0,2099.0,1192.0,,198.03,0.1,,10.14,Tier 2 City Customers,11-11-2024
NY-CMP-33072,Influencer,Premium Shoppers,,"Google, Facebook, YouTube",35188.0,2919.0,1173.0,710.0,397600.0,371.81,0.51,Hindi,13.65,College Students,03-09-2024
NY-CMP-24153,Paid Ads,Premium Shoppers,14.0,Google,82784.0,9646.0,2755.0,2095.0,1053785.0,84.44,4.96,,17.51,Working Women,21-10-2024
NY-CMP-30169,Social Media,College Students,21.0,"Google, WhatsApp, Facebook",24207.0,1440.0,543.0,191.0,98174.0,,-0.29,Hindi,8.98,College Students,13-03-2025
NY-CMP-18041,Influencer,College Students,,"Instagram, Facebook",15742.0,617.0,334.0,205.0,85895.0,1233.81,-0.66,,7.34,College Students,25-09-2024
NY-CMP-54416,Influencer,Youth,17.0,WhatsApp,29657.0,3877.0,1714.0,1063.0,503862.0,96.13,3.93,Hindi,,Youth,17-04-2025
NY-CMP-10149,Influencer,Youth,21.0,"Google, WhatsApp, Instagram",34421.0,3698.0,1885.0,815.0,643850.0,339.67,1.33,English,18.59,Working Women,04-12-2024
NY-CMP-14325,Paid Ads,Working Women,17.0,"YouTube, Google, Email",79606.0,,5784.0,4582.0,3633526.0,46.27,16.14,Hindi,26.65,Premium Shoppers,14-03-2025
NY-CMP-25757,SEO,Premium Shoppers,5.0,"Email, Google, Facebook",29910.0,2724.0,838.0,579.0,133170.0,492.58,-0.53,Bengali,13.84,Youth,06-01-2025
NY-CMP-39105,SEO,Premium Shoppers,27.0,"Email, YouTube",95771.0,11240.0,5400.0,1822.0,1455778.0,61.47,12.0,,19.28,Youth,
NY-CMP-20315,Social Media,College Students,27.0,WhatsApp,67716.0,6838.0,2301.0,1415.0,836265.0,,2.3,English,15.59,Working Women,14-07-2024
