Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date
TI-CMP-24680,Influencer,Youth,14.0,"Google, Instagram, WhatsApp",41198.0,4128.0,1891.0,951.0,426999.0,99.39,3.52,Hindi,16.92,Tier 2 City Customers,26-09-2024
TI-CMP-18518,SEO,College Students,17.0,"Email, Facebook, Instagram",,1972.0,659.0,477.0,231345.0,132.82,2.65,Hindi,5.7,Premium Shoppers,13-11-2024
TI-CMP-21274,Email,Working Women,13.0,"Email, Google",32315.0,2233.0,1045.0,818.0,285482.0,363.22,-0.04,Hindi,12.68,Youth,09-02-2025
TI-CMP-20858,Email,Youth,15.0,"WhatsApp, Facebook",10385.0,1065.0,251.0,97.0,62856.0,2214.72,-0.71,Tamil,13.61,Working Women,20-03-2025
TI-CMP-11743,Social Media,College Students,21.0,,36766.0,4301.0,1393.0,983.0,,87.01,1.99,Tamil,18.16,,01-09-2024
TI-CMP-27487,Email,Working Women,30.0,Google,17573.0,,288.0,224.0,167552.0,1024.32,-0.27,Tamil,9.33,Premium Shoppers,05-08-2024
TI-CMP-42645,Email,College Students,,"Email, WhatsApp, Google",98189.0,10176.0,2282.0,1507.0,783640.0,135.15,2.85,Hindi,14.22,Youth,09-10-2024
TI-CMP-53032,Influencer,Youth,9.0,"YouTube, Instagram, Email",55259.0,4433.0,1325.0,774.0,208206.0,107.18,1.51,English,11.82,College Students,06-01-2025
TI-CMP-50454,Paid Ads,College Students,25.0,"Email, Instagram",67250.0,1472.0,701.0,560.0,146720.0,415.43,-0.37,Tamil,4.06,Youth,22-07-2024
TI-CMP-19331,SEO,Working Women,22.0,"WhatsApp, Instagram",53921.0,7449.0,3207.0,2434.0,1161018.0,21.8,20.88,English,24.28,,20-02-2025
TI-CMP-29697,Social Media,Working Women,,"YouTube, Google, Email",10720.0,402.0,175.0,104.0,40352.0,2127.3,-0.82,Hindi,6.35,Premium Shoppers,22-10-2024
TI-CMP-34105,Influencer,,,YouTube,25536.0,3125.0,893.0,563.0,271929.0,255.13,0.89,English,,Premium Shoppers,21-03-2025
TI-CMP-56107,Email,Youth,17.0,Google,90166.0,2365.0,1401.0,785.0,164850.0,107.97,0.94,Hindi,5.05,College Students,
TI-CMP-34184,,Premium Shoppers,5.0,,25498.0,3203.0,1638.0,566.0,153386.0,506.96,-0.47,Tamil,21.21,Premium Shoppers,27-03-2025
TI-CMP-33072,Email,Tier 2 City Customers,26.0,"Facebook, Email",12372.0,998.0,453.0,356.0,178356.0,683.47,,Hindi,14.61,Tier 2 City Customers,02-10-2024
TI-CMP-24153,Social Media,College Students,23.0,"WhatsApp, YouTube, Google",41357.0,1467.0,390.0,119.0,23800.0,1114.08,-0.82,English,4.78,Premium Shoppers,10-09-2024
TI-CMP-30169,Paid Ads,Premium Shoppers,13.0,"Facebook, Email, YouTube",92038.0,12372.0,5964.0,4054.0,2047270.0,17.6,27.69,Tamil,24.33,Tier 2 City Customers,08-12-2024
TI-CMP-18041,SEO,College Students,30.0,Instagram,12237.0,1164.0,374.0,131.0,28951.0,1968.18,,Tamil,13.64,College Students,31-12-2024
TI-CMP-54416,,Premium Shoppers,,"Facebook, WhatsApp, Google",63378.0,4507.0,1818.0,890.0,367570.0,226.87,0.82,Tamil,11.38,College Students,13-04-2025
TI-CMP-10149,Social Media,Youth,5.0,"Email, WhatsApp, Google",62560.0,5819.0,3010.0,1538.0,1215020.0,156.64,4.04,Tamil,16.57,College Students,05-05-2025
TI-CMP-14325,SEO,College Students,13.0,"Facebook, WhatsApp",56663.0,3016.0,1654.0,854.0,491050.0,199.33,1.88,Tamil,,Premium Shoppers,27-10-2024
,Paid Ads,Premium Shoppers,23.0,Email,21461.0,2658.0,746.0,,385727.0,326.46,1.37,Hindi,18.19,Tier 2 City Customers,11-08-2024
TI-CMP-39105,Social Media,Tier 2 City Customers,28.0,"Email, Google",17175.0,786.0,258.0,98.0,67424.0,1343.49,-0.49,Bengali,6.65,Premium Shoppers,
TI-CMP-20315,Paid Ads,Tier 2 City Customers,12.0,"Email, WhatsApp",50504.0,1632.0,463.0,290.0,95410.0,497.13,-0.34,English,4.72,Working Women,16-10-2024
,SEO,Premium Shoppers,30.0,"Instagram, Facebook, Google",97552.0,9769.0,2206.0,1532.0,868644.0,104.42,4.43,Bengali,13.85,Youth,01-01-2025
TI-CMP-28562,SEO,Youth,25.0,WhatsApp,27430.0,2824.0,865.0,555.0,379620.0,400.24,0.71,Hindi,15.47,Youth,21-11-2024
TI-CMP-53625,Paid Ads,Youth,17.0,"Google, Facebook, Instagram",84110.0,5844.0,1918.0,1296.0,714096.0,167.12,2.3,Bengali,10.77,Premium Shoppers,19-12-2024
