Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date
PU-CMP-24680,Social Media,Working Women,,"Google, Instagram",91644.0,3874.0,1150.0,735.0,382200.0,104.7,3.97,Tamil,6.28,Tier 2 City Customers,22-09-2024
PU-CMP-18518,SEO,Premium Shoppers,5.0,Instagram,63306.0,8678.0,4162.0,2662.0,921052.0,88.01,2.93,Bengali,24.49,College Students,10-05-2025
PU-CMP-21274,Paid Ads,College Students,7.0,"YouTube, Instagram",47992.0,4607.0,2530.0,1870.0,463760.0,,2.42,Bengali,18.77,Premium Shoppers,22-05-2025
PU-CMP-20858,SEO,Youth,,"Google, Instagram",81767.0,5709.0,1672.0,568.0,428840.0,,3.99,Tamil,9.72,Youth,04-04-2025
PU-CMP-11743,Social Media,,26.0,"YouTube, Instagram, Email",41748.0,2199.0,,767.0,211692.0,182.73,0.51,Bengali,9.83,Tier 2 City Customers,30-09-2024
PU-CMP-27487,Social Media,Youth,22.0,WhatsApp,62558.0,7930.0,3703.0,1825.0,1275675.0,151.96,3.6,Bengali,21.51,Tier 2 City Customers,28-09-2024
PU-CMP-42645,SEO,Working Women,,YouTube,51203.0,2457.0,1063.0,546.0,,343.99,0.14,Bengali,7.94,Youth,12-04-2025
PU-CMP-53032,Influencer,Tier 2 City Customers,15.0,"YouTube, Email, Google",28150.0,3715.0,1586.0,851.0,518259.0,275.83,1.21,Bengali,21.85,Youth,14-11-2024
PU-CMP-50454,Influencer,Premium Shoppers,22.0,"WhatsApp, Email",78057.0,3485.0,972.0,423.0,,288.17,0.45,English,6.25,Premium Shoppers,11-12-2024
PU-CMP-19331,Email,Youth,9.0,"Google, Facebook, Email",12511.0,1243.0,599.0,443.0,293709.0,264.25,1.51,Bengali,18.26,Tier 2 City Customers,08-06-2025
PU-CMP-29697,Email,Premium Shoppers,17.0,"Facebook, YouTube, Email",18188.0,1156.0,342.0,244.0,160552.0,379.21,0.74,Bengali,9.58,Working Women,18-04-2025
PU-CMP-34105,Influencer,Tier 2 City Customers,17.0,"YouTube, Instagram",11203.0,1143.0,234.0,127.0,94107.0,2339.87,-0.68,English,13.42,Tier 2 City Customers,22-04-2025
PU-CMP-56107,Influencer,Tier 2 City Customers,5.0,WhatsApp,79302.0,9801.0,4596.0,2082.0,1213806.0,80.45,6.25,Tamil,20.78,Tier 2 City Customers,20-03-2025
PU-CMP-34184,Paid Ads,College Students,25.0,"YouTube, Email",68283.0,1627.0,447.0,168.0,117096.0,1351.27,-0.48,Bengali,3.28,Premium Shoppers,03-09-2024
PU-CMP-33072,Email,Tier 2 City Customers,5.0,Google,42814.0,1844.0,941.0,636.0,281112.0,280.04,0.58,Hindi,7.99,College Students,20-12-2024
PU-CMP-24153,Influencer,Tier 2 City Customers,6.0,"Email, WhatsApp, Google",69047.0,9183.0,4738.0,1973.0,615576.0,139.18,1.24,English,23.02,College Students,30-11-2024
PU-CMP-30169,,Tier 2 City Customers,19.0,"WhatsApp, Instagram, YouTube",75773.0,5743.0,1766.0,740.0,223480.0,344.75,-0.12,Tamil,10.89,Youth,17-09-2024
PU-CMP-18041,Influencer,Tier 2 City Customers,17.0,"Instagram, YouTube, Email",74950.0,5922.0,2901.0,1551.0,600237.0,191.7,1.02,Hindi,13.84,Youth,
PU-CMP-54416,Paid Ads,Working Women,12.0,Facebook,36924.0,3040.0,989.0,660.0,252120.0,138.65,1.76,Hindi,12.7,Working Women,17-04-2025
PU-CMP-10149,Paid Ads,Working Women,12.0,"Google, YouTube",17163.0,1324.0,728.0,493.0,,306.85,0.27,Tamil,14.83,Youth,16-04-2025
PU-CMP-14325,Social Media,College Students,20.0,"Facebook, Google, WhatsApp",76372.0,3256.0,1345.0,1052.0,521792.0,231.2,1.15,Tamil,7.4,Tier 2 City Customers,02-01-2025
PU-CMP-25757,Social Media,Tier 2 City Customers,10.0,,80596.0,8804.0,2820.0,1001.0,761761.0,232.33,2.28,English,15.66,Premium Shoppers,09-11-2024
PU-CMP-39105,Social Media,Youth,8.0,WhatsApp,80444.0,11533.0,5327.0,1805.0,370025.0,73.45,1.79,Hindi,23.2,Tier 2 City Customers,06-10-2024
PU-CMP-20315,Email,Youth,23.0,"Email, Google",21596.0,2371.0,514.0,235.0,74965.0,1022.87,-0.69,English,14.45,Tier 2 City Customers,17-02-2025
PU-CMP-37338,Paid Ads,Youth,18.0,"WhatsApp, Facebook, Instagram",25744.0,1746.0,633.0,364.0,,547.68,-0.18,Hindi,10.65,,26-01-2025
PU-CMP-28562,Influencer,Working Women,9.0,"Google, Facebook",88633.0,9986.0,3457.0,2744.0,1042720.0,,2.53,Tamil,18.26,College Students,17-06-2025
PU-CMP-53625,Social Media,Working Women,,"WhatsApp, Facebook",43375.0,5452.0,2591.0,1399.0,506438.0,148.78,1.43,Hindi,21.77,Tier 2 City Customers,18-04-2025
PU-CMP-44156,Paid Ads,Premium Shoppers,27.0,"Instagram, Google",60768.0,2179.0,576.0,309.0,168405.0,268.06,1.03,Bengali,5.04,Working Women,01-05-2025
PU-CMP-35662,Influencer,Premium Shoppers,20.0,"Instagram, Facebook, Email",78812.0,6891.0,2988.0,962.0,275132.0,190.68,0.5,English,,College Students,22-03-2025
PU-CMP-3630,Paid Ads,Working Women,,"Google, Facebook",97523.0,11976.0,7157.0,3106.0,2276698.0,49.78,,Bengali,22.8,Working Women,29-08-2024
PU-CMP-10398,Email,Premium Shoppers,16.0,"Instagram, Google",18566.0,585.0,340.0,222.0,67710.0,498.45,-0.39,Hindi,6.18,Working Women,19-12-2024
PU-CMP-7478,Email,Working Women,8.0,YouTube,34596.0,3908.0,1376.0,533.0,135915.0,193.38,0.32,Hindi,16.81,Premium Shoppers,27-08-2024
PU-CMP-25975,Social Media,Tier 2 City Customers,29.0,"WhatsApp, Facebook",43348.0,4718.0,1925.0,752.0,464736.0,133.64,3.62,Tamil,17.06,,
PU-CMP-48091,Social Media,,15.0,"Email, Facebook",45932.0,2558.0,,276.0,80868.0,789.98,-0.63,Bengali,7.46,Youth,25-10-2024
PU-CMP-32020,Email,College Students,11.0,"Instagram, WhatsApp",48501.0,3842.0,825.0,523.0,356163.0,176.74,2.85,Bengali,10.7,Tier 2 City Customers,09-09-2024
PU-CMP-47915,Influencer,Tier 2 City Customers,28.0,"Facebook, WhatsApp",,1282.0,,532.0,142044.0,261.71,0.02,English,6.04,Premium Shoppers,05-12-2024
PU-CMP-30239,Influencer,College Students,20.0,"Facebook, YouTube",62677.0,,3835.0,1460.0,1023460.0,85.1,7.24,Tamil,19.87,College Students,26-12-2024
PU-CMP-23103,Social Media,Youth,20.0,Google,94046.0,4366.0,1181.0,392.0,169736.0,162.51,,Tamil,6.31,Youth,03-01-2025
PU-CMP-1936,,Youth,7.0,"Google, YouTube",,8081.0,2625.0,1318.0,523246.0,129.92,2.06,Hindi,22.17,Tier 2 City Customers,04-01-2025
PU-CMP-13761,Social Media,Premium Shoppers,7.0,"Facebook, WhatsApp, Google",48209.0,4685.0,2383.0,1703.0,461513.0,97.26,1.79,Tamil,18.19,Tier 2 City Customers,
PU-CMP-3528,Influencer,College Students,12.0,"Instagram, Facebook, Google",97373.0,10541.0,5609.0,2271.0,556395.0,130.43,0.88,English,18.92,,07-09-2024
PU-CMP-15449,Paid Ads,Tier 2 City Customers,,"Google, WhatsApp, Email",26200.0,642.0,147.0,116.0,41876.0,529.64,-0.32,Hindi,3.45,Working Women,23-09-2024
PU-CMP-56167,Paid Ads,Youth,18.0,"WhatsApp, Email",43992.0,5649.0,2613.0,1514.0,799392.0,197.85,1.67,Tamil,22.22,Tier 2 City Customers,09-12-2024
,,Working Women,18.0,"Instagram, WhatsApp, Email",73664.0,10126.0,3468.0,2491.0,914197.0,105.12,2.49,English,,Premium Shoppers,27-05-2025
PU-CMP-55231,Social Media,Tier 2 City Customers,29.0,"Email, Google, Facebook",28258.0,2709.0,573.0,413.0,291991.0,646.76,0.09,Hindi,13.08,Working Women,26-05-2025
PU-CMP-29665,Social Media,Tier 2 City Customers,17.0,,13288.0,1122.0,285.0,120.0,81960.0,1722.65,-0.6,English,11.49,Working Women,03-06-2025
PU-CMP-4173,Influencer,,22.0,Instagram,27665.0,3461.0,1903.0,793.0,223626.0,200.6,0.41,Tamil,22.26,Premium Shoppers,07-01-2025
PU-CMP-44546,SEO,Working Women,18.0,YouTube,13170.0,648.0,221.0,68.0,30872.0,741.07,-0.39,English,7.11,Youth,18-10-2024
PU-CMP-28210,SEO,Premium Shoppers,12.0,"Email, YouTube",72912.0,3213.0,1578.0,907.0,306566.0,216.92,0.56,English,7.81,Working Women,27-12-2024
PU-CMP-24445,Influencer,Working Women,12.0,"Facebook, Google",14615.0,1303.0,644.0,222.0,118326.0,512.23,0.04,Tamil,14.84,Youth,17-07-2024
PU-CMP-25965,Influencer,Youth,9.0,Instagram,48692.0,3221.0,1680.0,1112.0,771728.0,127.35,4.45,Hindi,12.35,Working Women,11-12-2024
PU-CMP-8984,,Youth,17.0,"YouTube, WhatsApp, Facebook",38124.0,3408.0,1927.0,1342.0,581086.0,184.92,1.34,Hindi,17.51,Youth,13-09-2024
PU-CMP-9279,Social Media,Premium Shoppers,8.0,Google,81831.0,3206.0,1111.0,580.0,367720.0,276.69,1.29,Tamil,5.98,Working Women,22-09-2024
PU-CMP-32581,Paid Ads,Working Women,29.0,"YouTube, Email",,11040.0,4858.0,2062.0,435082.0,138.69,0.52,Bengali,17.99,Youth,01-10-2024
PU-CMP-12153,Influencer,Tier 2 City Customers,16.0,Facebook,86731.0,6434.0,3464.0,2283.0,1223688.0,51.23,9.46,Bengali,14.04,College Students,16-04-2025
PU-CMP-48852,Email,Youth,,Instagram,54547.0,6190.0,1559.0,596.0,452364.0,353.06,1.15,English,15.3,Working Women,10-11-2024
PU-CMP-21832,Social Media,Premium Shoppers,,Instagram,61777.0,2843.0,1094.0,,425136.0,254.04,1.05,Hindi,7.69,Tier 2 City Customers,29-04-2025
PU-CMP-17889,Social Media,Working Women,12.0,"Google, WhatsApp",10290.0,1174.0,448.0,135.0,,1630.01,-0.7,Hindi,17.07,Premium Shoppers,02-01-2025
PU-CMP-9270,Influencer,,10.0,"Email, WhatsApp, Google",,1654.0,561.0,298.0,92678.0,383.24,-0.19,Bengali,21.26,Youth,01-03-2025
PU-CMP-46263,SEO,Youth,25.0,"WhatsApp, Facebook, Instagram",17517.0,502.0,192.0,102.0,24582.0,1022.13,-0.76,Hindi,4.54,Premium Shoppers,18-07-2024
PU-CMP-28872,SEO,College Students,13.0,Facebook,44524.0,3502.0,1716.0,890.0,227840.0,306.68,-0.17,Tamil,13.72,Tier 2 City Customers,29-08-2024
PU-CMP-42624,Influencer,Working Women,21.0,"Email, WhatsApp, Google",65675.0,6076.0,3159.0,1147.0,729492.0,189.91,2.35,English,15.81,Youth,31-03-2025
PU-CMP-18210,,Tier 2 City Customers,10.0,"Facebook, Instagram",41278.0,4646.0,2423.0,1850.0,534650.0,64.63,3.47,,21.61,College Students,12-05-2025
PU-CMP-32985,,Premium Shoppers,7.0,"YouTube, Google, WhatsApp",70558.0,3732.0,1169.0,,141664.0,411.76,-0.26,Tamil,7.61,College Students,25-10-2024
PU-CMP-8785,Email,College Students,14.0,"YouTube, WhatsApp",77874.0,6825.0,2986.0,1300.0,266500.0,41.91,3.89,English,14.27,Youth,28-04-2025
PU-CMP-40286,SEO,Tier 2 City Customers,16.0,"Google, YouTube, Email",,3049.0,737.0,521.0,184955.0,172.21,1.06,Hindi,8.78,Youth,03-04-2025
PU-CMP-12799,Social Media,Tier 2 City Customers,14.0,"Instagram, Email",71219.0,9944.0,4396.0,2235.0,1197960.0,112.3,3.77,Tamil,23.27,Tier 2 City Customers,23-07-2024
PU-CMP-28173,Influencer,College Students,,"Facebook, Google, Email",67516.0,8032.0,2662.0,1756.0,1011456.0,64.75,7.9,Tamil,18.44,Premium Shoppers,02-04-2025
PU-CMP-53291,Email,Working Women,12.0,"YouTube, WhatsApp, Facebook",,8868.0,,857.0,249387.0,309.36,-0.06,Bengali,17.0,Tier 2 City Customers,
PU-CMP-46442,Influencer,Working Women,17.0,"YouTube, Facebook, Google",43176.0,4776.0,1793.0,836.0,,284.93,0.11,Hindi,17.15,College Students,19-02-2025
PU-CMP-38315,,Youth,15.0,"Google, WhatsApp, Facebook",62090.0,4897.0,2909.0,2026.0,1100118.0,127.49,3.26,Bengali,15.84,Premium Shoppers,14-10-2024
PU-CMP-46642,Email,Tier 2 City Customers,,,,2942.0,1386.0,693.0,412335.0,280.95,1.12,Bengali,6.01,Youth,04-07-2024
PU-CMP-37462,Email,Premium Shoppers,28.0,"WhatsApp, YouTube, Instagram",44609.0,6223.0,2406.0,1557.0,1205118.0,81.98,8.44,English,22.83,Youth,04-11-2024
PU-CMP-15831,Email,Tier 2 City Customers,17.0,"WhatsApp, Email, YouTube",42724.0,5047.0,2667.0,1409.0,542465.0,197.23,0.95,English,21.35,College Students,
PU-CMP-4394,Email,Working Women,10.0,"Facebook, WhatsApp",17793.0,1874.0,904.0,,501200.0,79.08,7.85,Bengali,19.64,Tier 2 City Customers,27-07-2024
